Almacen,Código de barras,Stock min,Stock Max
Sucursal Centro,3760095254616,1,1
Sucursal Centro,3760095254562,0,0
Sucursal Centro,3760095254555,0,0
Sucursal Centro,3760095254579,0,0
Sucursal Centro,3760095254548,0,0
Sucursal Centro,3760095250441,0,0
Sucursal Centro,3760095255170,1,1
Sucursal Centro,3760095250342,0,0
Sucursal Centro,3760095254272,0,0
Sucursal Centro,3760095250205,0,0
Sucursal Centro,3760095250267,0,0
Sucursal Centro,3760095251929,1,1
Sucursal Centro,3760095252681,0,0
Sucursal Centro,3760095251899,0,0
Sucursal Centro,3760095250106,0,0
Sucursal Centro,3760095255156,1,1
Sucursal Centro,3760095251554,0,0
Sucursal Centro,3760095251561,0,0
Sucursal Centro,3760095253619,0,0
Sucursal Centro,3760095254302,0,0
Sucursal Centro,3760095253626,0,0
Sucursal Centro,3760095253657,0,0
Sucursal Centro,3760095252551,1,1
Sucursal Centro,3760095250168,0,0
Sucursal Centro,3760095254500,0,0
Sucursal Centro,3760095250519,0,0
Sucursal Centro,3760095250199,0,0
Sucursal Centro,3760095250410,1,1
Sucursal Centro,3760095253374,0,0
Sucursal Centro,3760095252803,0,0
Sucursal Centro,3760095252872,0,0
Sucursal Centro,3760095252933,0,0
Sucursal Centro,3760095252926,0,0
Sucursal Centro,3760095250083,0,0
Sucursal Centro,813424022493,0,0
Sucursal Centro,854049002057,0,0
Sucursal Centro,854049002095,0,0
Sucursal Centro,854049002323,0,0
Sucursal Centro,854049002118,0,0
Sucursal Centro,813424022530,0,0
Sucursal Centro,813424022400,0,0
Sucursal Centro,813424022707,0,0
Sucursal Centro,3282770398625,1,1
Sucursal Centro,3282770153026,0,0
Sucursal Centro,3282770152999,0,0
Sucursal Centro,3282770153002,3,3
Sucursal Centro,3282770388855,4,4
Sucursal Centro,3282770154085,0,0
Sucursal Centro,3282770388886,0,0
Sucursal Centro,3282770146691,0,0
Sucursal Centro,3282770146677,1,1
Sucursal Centro,3282770388916,1,1
Sucursal Centro,3282770389333,2,2
Sucursal Centro,3282779285889,0,0
Sucursal Centro,3282770209648,3,3
Sucursal Centro,3282770104783,0,0
Sucursal Centro,3282770391008,1,1
Sucursal Centro,3282771057392,2,2
Sucursal Centro,3282770073706,0,0
Sucursal Centro,3282770209440,0,0
Sucursal Centro,3282770393712,1,1
Sucursal Centro,3282770398632,3,3
Sucursal Centro,3282770398700,1,1
Sucursal Centro,3282770143409,0,0
Sucursal Centro,3282770393859,1,1
Sucursal Centro,3282770393842,0,0
Sucursal Centro,3282770149814,1,1
Sucursal Centro,3282770074628,3,3
Sucursal Centro,3282770149678,1,1
Sucursal Centro,3282770073577,3,3
Sucursal Centro,3282770073065,0,0
Sucursal Centro,3282770074635,1,1
Sucursal Centro,3282770139181,1,1
Sucursal Centro,3282770397666,3,3
Sucursal Centro,3282770074239,0,0
Sucursal Centro,3282779285216,1,1
