Almacen,CÃ³digo de barras,Stock min,ROP,Stock Max
Sucursal Centro,1,0,0,0
Sucursal Centro,2,1,1,1
Sucursal Centro,3,0,0,0
Sucursal Centro,4,0,0,0
Sucursal Centro,5,3,3,3
Sucursal Centro,6,0,0,0
Sucursal Centro,7,0,0,0
Sucursal Centro,8,0,0,0
Sucursal Centro,9,0,0,0
Sucursal Centro,10,0,0,0
Sucursal Centro,11,0,0,0
Sucursal Centro,12,0,0,0
Sucursal Centro,13,0,0,0
Sucursal Centro,14,0,0,0
Sucursal Centro,15,0,0,0
Sucursal Centro,16,0,0,0
Sucursal Centro,17,0,0,0
Sucursal Centro,18,0,0,0
Sucursal Centro,19,0,0,0
Sucursal Centro,20,0,0,0
Sucursal Centro,21,0,0,0
Sucursal Centro,22,0,0,0
Sucursal Centro,23,0,0,0
Sucursal Centro,24,0,0,0
Sucursal Centro,25,0,0,0
Sucursal Centro,26,0,0,0
Sucursal Centro,27,0,0,0
Sucursal Centro,28,0,0,0
Sucursal Centro,29,0,0,0
Sucursal Centro,30,0,0,0
Sucursal Centro,31,0,0,0
Sucursal Centro,32,0,0,0
Sucursal Centro,33,0,0,0
Sucursal Centro,34,0,0,0
Sucursal Centro,35,0,0,0
Sucursal Centro,36,0,0,0
Sucursal Centro,37,0,0,0
Sucursal Centro,38,0,0,0
Sucursal Centro,39,0,0,0
Sucursal Centro,40,0,0,0
Sucursal Centro,41,0,0,0
Sucursal Centro,42,0,0,0
Sucursal Centro,88,0,0,0
Sucursal Centro,89,0,0,0
Sucursal Centro,100,0,0,0
Sucursal Centro,101,0,0,0
Sucursal Centro,102,0,0,0
Sucursal Centro,103,0,0,0
Sucursal Centro,105,0,0,0
Sucursal Centro,106,0,0,0
Sucursal Centro,107,0,0,0
Sucursal Centro,108,0,0,0
Sucursal Centro,109,0,0,0
Sucursal Centro,111,0,0,0
Sucursal Centro,112,0,0,0
Sucursal Centro,113,0,0,0
Sucursal Centro,115,1,1,1
Sucursal Centro,116,3,3,3
Sucursal Centro,117,0,0,0
Sucursal Centro,118,0,0,0
Sucursal Centro,119,0,0,0
Sucursal Centro,120,0,0,0
Sucursal Centro,121,0,0,0
Sucursal Centro,122,0,0,0
Sucursal Centro,123,0,0,0
Sucursal Centro,124,0,0,0
Sucursal Centro,125,0,0,0
Sucursal Centro,126,0,0,0
Sucursal Centro,127,0,0,0
Sucursal Centro,128,0,0,0
Sucursal Centro,129,0,0,0
Sucursal Centro,130,0,0,0
Sucursal Centro,131,0,0,0
Sucursal Centro,201,0,0,0
Sucursal Centro,202,0,0,0
Sucursal Centro,203,0,0,0
Sucursal Centro,205,0,0,0
Sucursal Centro,206,0,0,0
Sucursal Centro,207,0,0,0
Sucursal Centro,300,0,0,0
Sucursal Centro,301,0,0,0
Sucursal Centro,302,0,0,0
Sucursal Centro,303,0,0,0
Sucursal Centro,304,0,0,0
Sucursal Centro,305,0,0,0
Sucursal Centro,306,0,0,0
Sucursal Centro,307,0,0,0
Sucursal Centro,308,0,0,0
Sucursal Centro,309,1,1,1
Sucursal Centro,310,0,0,0
Sucursal Centro,311,0,0,0
Sucursal Centro,312,0,0,0
Sucursal Centro,313,0,0,0
Sucursal Centro,314,0,0,0
Sucursal Centro,315,1,1,1
Sucursal Centro,316,0,0,0
Sucursal Centro,317,0,0,0
Sucursal Centro,318,0,0,0
Sucursal Centro,319,0,0,0
Sucursal Centro,320,0,0,0
Sucursal Centro,321,0,0,0
Sucursal Centro,322,0,0,0
Sucursal Centro,323,0,0,0
Sucursal Centro,324,0,0,0
Sucursal Centro,325,0,0,0
Sucursal Centro,326,0,0,0
Sucursal Centro,327,0,0,0
Sucursal Centro,328,0,0,0
Sucursal Centro,329,0,0,0
Sucursal Centro,330,0,0,0
Sucursal Centro,331,0,0,0
Sucursal Centro,332,0,0,0
Sucursal Centro,333,0,0,0
Sucursal Centro,334,0,0,0
Sucursal Centro,400,0,0,0
Sucursal Centro,401,0,0,0
Sucursal Centro,402,0,0,0
Sucursal Centro,403,0,0,0
Sucursal Centro,404,0,0,0
Sucursal Centro,405,0,0,0
Sucursal Centro,406,0,0,0
Sucursal Centro,407,0,0,0
Sucursal Centro,408,0,0,0
Sucursal Centro,409,0,0,0
Sucursal Centro,410,0,0,0
Sucursal Centro,411,0,0,0
Sucursal Centro,412,0,0,0
Sucursal Centro,413,0,0,0
Sucursal Centro,414,0,0,0
Sucursal Centro,415,1,1,1
Sucursal Centro,416,0,0,0
Sucursal Centro,417,0,0,0
Sucursal Centro,418,0,0,0
Sucursal Centro,419,0,0,0
Sucursal Centro,420,0,0,0
Sucursal Centro,421,0,0,0
Sucursal Centro,422,0,0,0
Sucursal Centro,423,0,0,0
Sucursal Centro,424,0,0,0
Sucursal Centro,425,0,0,0
Sucursal Centro,426,0,0,0
Sucursal Centro,427,0,0,0
Sucursal Centro,428,0,0,0
Sucursal Centro,429,0,0,0
Sucursal Centro,430,0,0,0
Sucursal Centro,431,0,0,0
Sucursal Centro,432,0,0,0
Sucursal Centro,433,0,0,0
Sucursal Centro,434,0,0,0
Sucursal Centro,435,0,0,0
Sucursal Centro,436,0,0,0
Sucursal Centro,437,0,0,0
Sucursal Centro,438,0,0,0
Sucursal Centro,439,0,0,0
Sucursal Centro,440,0,0,0
Sucursal Centro,441,0,0,0
Sucursal Centro,442,0,0,0
Sucursal Centro,443,0,0,0
Sucursal Centro,444,0,0,0
Sucursal Centro,445,0,0,0
Sucursal Centro,446,0,0,0
Sucursal Centro,447,0,0,0
Sucursal Centro,448,0,0,0
Sucursal Centro,449,0,0,0
Sucursal Centro,450,0,0,0
Sucursal Centro,451,0,0,0
Sucursal Centro,452,1,1,1
Sucursal Centro,453,0,0,0
Sucursal Centro,454,0,0,0
Sucursal Centro,455,0,0,0
Sucursal Centro,456,0,0,0
Sucursal Centro,457,0,0,0
Sucursal Centro,458,0,0,0
Sucursal Centro,459,0,0,0
Sucursal Centro,460,0,0,0
Sucursal Centro,461,0,0,0
Sucursal Centro,462,0,0,0
Sucursal Centro,463,0,0,0
Sucursal Centro,464,0,0,0
Sucursal Centro,465,0,0,0
Sucursal Centro,466,0,0,0
Sucursal Centro,467,1,1,1
Sucursal Centro,468,0,0,0
Sucursal Centro,469,0,0,0
Sucursal Centro,470,0,0,0
Sucursal Centro,471,0,0,0
Sucursal Centro,472,0,0,0
Sucursal Centro,473,0,0,0
Sucursal Centro,474,0,0,0
Sucursal Centro,475,0,0,0
Sucursal Centro,476,0,0,0
Sucursal Centro,477,0,0,0
Sucursal Centro,478,0,0,0
Sucursal Centro,479,0,0,0
Sucursal Centro,480,0,0,0
Sucursal Centro,481,0,0,0
Sucursal Centro,482,0,0,0
Sucursal Centro,483,0,0,0
Sucursal Centro,484,0,0,0
Sucursal Centro,500,0,0,0
Sucursal Centro,501,0,0,0
Sucursal Centro,502,0,0,0
Sucursal Centro,503,0,0,0
Sucursal Centro,504,0,0,0
Sucursal Centro,505,0,0,0
Sucursal Centro,506,0,0,0
Sucursal Centro,507,0,0,0
Sucursal Centro,508,0,0,0
Sucursal Centro,509,0,0,0
Sucursal Centro,510,0,0,0
Sucursal Centro,511,0,0,0
Sucursal Centro,512,0,0,0
Sucursal Centro,513,0,0,0
Sucursal Centro,514,1,1,1
Sucursal Centro,515,0,0,0
Sucursal Centro,516,0,0,0
Sucursal Centro,517,0,0,0
Sucursal Centro,518,0,0,0
Sucursal Centro,519,0,0,0
Sucursal Centro,520,0,0,0
Sucursal Centro,521,0,0,0
Sucursal Centro,522,0,0,0
Sucursal Centro,523,0,0,0
Sucursal Centro,524,0,0,0
Sucursal Centro,525,0,0,0
Sucursal Centro,526,0,0,0
Sucursal Centro,527,0,0,0
Sucursal Centro,528,0,0,0
Sucursal Centro,529,0,0,0
Sucursal Centro,530,0,0,0
Sucursal Centro,531,0,0,0
Sucursal Centro,532,0,0,0
Sucursal Centro,533,0,0,0
Sucursal Centro,534,0,0,0
Sucursal Centro,535,0,0,0
Sucursal Centro,536,0,0,0
Sucursal Centro,537,0,0,0
Sucursal Centro,538,0,0,0
Sucursal Centro,539,0,0,0
Sucursal Centro,540,0,0,0
Sucursal Centro,541,0,0,0
Sucursal Centro,542,0,0,0
Sucursal Centro,544,0,0,0
Sucursal Centro,545,0,0,0
Sucursal Centro,546,0,0,0
Sucursal Centro,547,0,0,0
Sucursal Centro,548,0,0,0
Sucursal Centro,549,0,0,0
Sucursal Centro,550,0,0,0
Sucursal Centro,551,0,0,0
Sucursal Centro,552,0,0,0
Sucursal Centro,553,0,0,0
Sucursal Centro,554,0,0,0
Sucursal Centro,555,0,0,0
Sucursal Centro,743,0,0,0
Sucursal Centro,800,0,0,0
Sucursal Centro,801,0,0,0
Sucursal Centro,802,0,0,0
Sucursal Centro,803,0,0,0
Sucursal Centro,1300,0,0,0
Sucursal Centro,1301,0,0,0
Sucursal Centro,1302,0,0,0
Sucursal Centro,1303,0,0,0
Sucursal Centro,1304,0,0,0
Sucursal Centro,1305,0,0,0
Sucursal Centro,1306,0,0,0
Sucursal Centro,2001,11,11,35
Sucursal Centro,2003,0,0,0
Sucursal Centro,2004,0,0,0
Sucursal Centro,2005,0,0,0
Sucursal Centro,2006,0,0,0
Sucursal Centro,2009,0,0,0
Sucursal Centro,2010,0,0,0
Sucursal Centro,2011,1,1,1
Sucursal Centro,2012,0,0,0
Sucursal Centro,2013,0,0,0
Sucursal Centro,2015,1,1,1
Sucursal Centro,2846,0,0,0
Sucursal Centro,3000,1,1,1
Sucursal Centro,6018,0,0,0
Sucursal Centro,6020,0,0,0
Sucursal Centro,6097,0,0,0
