Almacen,Código de barras,Stock min,ROP,Stock Max
CEDIS,1,0,0,0
CEDIS,2,9,14,24
CEDIS,3,0,0,0
CEDIS,4,0,0,0
CEDIS,5,33,43,76
CEDIS,6,0,0,0
CEDIS,7,0,0,0
CEDIS,8,0,0,0
CEDIS,9,0,0,0
CEDIS,10,2,3,5
CEDIS,11,0,0,0
CEDIS,12,0,0,0
CEDIS,13,0,0,0
CEDIS,14,0,0,0
CEDIS,15,0,0,0
CEDIS,16,0,0,0
CEDIS,17,0,0,0
CEDIS,18,0,0,0
CEDIS,19,0,0,0
CEDIS,20,0,0,0
CEDIS,21,0,0,0
CEDIS,22,0,0,0
CEDIS,23,0,0,0
CEDIS,24,4,6,10
CEDIS,25,0,0,0
CEDIS,26,0,0,0
CEDIS,27,0,0,0
CEDIS,28,0,0,0
CEDIS,29,0,0,0
CEDIS,30,0,0,0
CEDIS,31,1,2,4
CEDIS,32,0,0,0
CEDIS,33,0,0,0
CEDIS,34,0,0,0
CEDIS,35,0,0,0
CEDIS,36,0,0,0
CEDIS,37,0,0,0
CEDIS,38,0,0,0
CEDIS,39,0,0,0
CEDIS,40,0,0,0
CEDIS,41,0,0,0
CEDIS,42,0,0,0
CEDIS,88,0,0,0
CEDIS,89,0,0,0
CEDIS,100,0,0,0
CEDIS,101,0,0,0
CEDIS,102,0,0,0
CEDIS,103,0,0,0
CEDIS,105,0,0,0
CEDIS,106,0,0,0
CEDIS,107,0,0,0
CEDIS,108,0,0,0
CEDIS,109,0,0,0
CEDIS,111,0,0,0
CEDIS,112,0,0,0
CEDIS,113,0,0,0
CEDIS,115,11,15,26
CEDIS,116,42,53,96
CEDIS,117,0,0,0
CEDIS,118,0,0,0
CEDIS,119,0,0,0
CEDIS,120,0,0,0
CEDIS,121,0,0,0
CEDIS,122,0,0,0
CEDIS,123,0,0,0
CEDIS,124,1,2,3
CEDIS,125,0,0,0
CEDIS,126,0,0,0
CEDIS,127,0,0,0
CEDIS,128,0,0,0
CEDIS,129,0,0,0
CEDIS,130,0,0,0
CEDIS,131,1,2,3
CEDIS,201,0,0,0
CEDIS,202,0,0,0
CEDIS,203,0,0,0
CEDIS,205,0,0,0
CEDIS,206,0,0,0
CEDIS,207,0,0,0
CEDIS,300,3,4,7
CEDIS,301,0,0,0
CEDIS,302,3,4,7
CEDIS,303,0,0,0
CEDIS,304,1,2,3
CEDIS,305,0,0,0
CEDIS,306,0,0,0
CEDIS,307,0,0,0
CEDIS,308,0,0,0
CEDIS,309,3,5,8
CEDIS,310,0,0,0
CEDIS,311,0,0,0
CEDIS,312,0,0,0
CEDIS,313,0,0,0
CEDIS,314,0,0,0
CEDIS,315,1,2,3
CEDIS,316,0,0,0
CEDIS,317,0,0,0
CEDIS,318,3,5,8
CEDIS,319,0,0,0
CEDIS,320,0,0,0
CEDIS,321,2,3,5
CEDIS,322,2,3,5
CEDIS,323,0,0,0
CEDIS,324,1,2,3
CEDIS,325,0,0,0
CEDIS,326,1,2,3
CEDIS,327,0,0,0
CEDIS,328,0,0,0
CEDIS,329,1,2,3
CEDIS,330,0,0,0
CEDIS,331,0,0,0
CEDIS,332,0,0,0
CEDIS,333,1,2,3
CEDIS,334,1,2,3
CEDIS,400,2,3,5
CEDIS,401,0,0,0
CEDIS,402,0,0,0
CEDIS,403,0,0,0
CEDIS,404,1,2,3
CEDIS,405,0,0,0
CEDIS,406,0,0,0
CEDIS,407,2,3,5
CEDIS,408,2,3,5
CEDIS,409,0,0,0
CEDIS,410,0,0,0
CEDIS,411,0,0,0
CEDIS,412,0,0,0
CEDIS,413,0,0,0
CEDIS,414,2,3,5
CEDIS,415,3,6,9
CEDIS,416,0,0,0
CEDIS,417,0,0,0
CEDIS,418,0,0,0
CEDIS,419,1,2,3
