Almacen,Código de barras,Stock min,ROP,Stock Max
Sucursal Guadalajara,1,0,0,0
Sucursal Guadalajara,2,0,0,0
Sucursal Guadalajara,3,0,0,0
Sucursal Guadalajara,4,0,0,0
Sucursal Guadalajara,5,0,0,0
Sucursal Guadalajara,6,0,0,0
Sucursal Guadalajara,7,0,0,0
Sucursal Guadalajara,8,0,0,0
Sucursal Guadalajara,9,0,0,0
Sucursal Guadalajara,10,0,0,0
Sucursal Guadalajara,11,0,0,0
Sucursal Guadalajara,12,0,0,0
Sucursal Guadalajara,13,0,0,0
Sucursal Guadalajara,14,0,0,0
Sucursal Guadalajara,15,0,0,0
Sucursal Guadalajara,16,0,0,0
Sucursal Guadalajara,17,0,0,0
Sucursal Guadalajara,18,0,0,0
Sucursal Guadalajara,19,0,0,0
Sucursal Guadalajara,20,0,0,0
Sucursal Guadalajara,21,0,0,0
Sucursal Guadalajara,22,0,0,0
Sucursal Guadalajara,23,0,0,0
Sucursal Guadalajara,24,0,0,0
Sucursal Guadalajara,25,0,0,0
Sucursal Guadalajara,26,0,0,0
Sucursal Guadalajara,27,0,0,0
Sucursal Guadalajara,28,0,0,0
Sucursal Guadalajara,29,0,0,0
Sucursal Guadalajara,30,0,0,0
Sucursal Guadalajara,31,0,0,0
Sucursal Guadalajara,32,0,0,0
Sucursal Guadalajara,33,0,0,0
Sucursal Guadalajara,34,0,0,0
Sucursal Guadalajara,35,0,0,0
Sucursal Guadalajara,36,0,0,0
Sucursal Guadalajara,37,0,0,0
Sucursal Guadalajara,38,0,0,0
Sucursal Guadalajara,39,0,0,0
Sucursal Guadalajara,40,0,0,0
Sucursal Guadalajara,41,0,0,0
Sucursal Guadalajara,42,0,0,0
Sucursal Guadalajara,88,0,0,0
Sucursal Guadalajara,89,0,0,0
Sucursal Guadalajara,100,0,0,0
Sucursal Guadalajara,101,0,0,0
Sucursal Guadalajara,102,0,0,0
Sucursal Guadalajara,103,0,0,0
Sucursal Guadalajara,105,0,0,0
Sucursal Guadalajara,106,0,0,0
Sucursal Guadalajara,107,0,0,0
Sucursal Guadalajara,108,0,0,0
Sucursal Guadalajara,109,0,0,0
Sucursal Guadalajara,111,0,0,0
Sucursal Guadalajara,112,0,0,0
Sucursal Guadalajara,113,0,0,0
Sucursal Guadalajara,115,0,0,0
Sucursal Guadalajara,116,0,0,0
Sucursal Guadalajara,117,0,0,0
Sucursal Guadalajara,118,0,0,0
Sucursal Guadalajara,119,0,0,0
Sucursal Guadalajara,120,0,0,0
Sucursal Guadalajara,121,0,0,0
Sucursal Guadalajara,122,0,0,0
Sucursal Guadalajara,123,0,0,0
Sucursal Guadalajara,124,0,0,0
Sucursal Guadalajara,125,0,0,0
Sucursal Guadalajara,126,0,0,0
Sucursal Guadalajara,127,0,0,0
Sucursal Guadalajara,128,0,0,0
Sucursal Guadalajara,129,0,0,0
Sucursal Guadalajara,130,0,0,0
Sucursal Guadalajara,131,0,0,0
Sucursal Guadalajara,201,0,0,0
Sucursal Guadalajara,202,0,0,0
Sucursal Guadalajara,203,0,0,0
Sucursal Guadalajara,205,0,0,0
Sucursal Guadalajara,206,0,0,0
Sucursal Guadalajara,207,0,0,0
Sucursal Guadalajara,300,0,0,0
Sucursal Guadalajara,301,0,0,0
Sucursal Guadalajara,302,0,0,0
Sucursal Guadalajara,303,0,0,0
Sucursal Guadalajara,304,0,0,0
Sucursal Guadalajara,305,0,0,0
Sucursal Guadalajara,306,0,0,0
Sucursal Guadalajara,307,0,0,0
Sucursal Guadalajara,308,0,0,0
Sucursal Guadalajara,309,0,0,0
Sucursal Guadalajara,310,0,0,0
Sucursal Guadalajara,311,0,0,0
Sucursal Guadalajara,312,0,0,0
Sucursal Guadalajara,313,0,0,0
Sucursal Guadalajara,314,0,0,0
Sucursal Guadalajara,315,0,0,0
Sucursal Guadalajara,316,0,0,0
Sucursal Guadalajara,317,0,0,0
Sucursal Guadalajara,318,0,0,0
Sucursal Guadalajara,319,0,0,0
Sucursal Guadalajara,320,0,0,0
Sucursal Guadalajara,321,0,0,0
Sucursal Guadalajara,322,0,0,0
Sucursal Guadalajara,323,0,0,0
Sucursal Guadalajara,324,0,0,0
Sucursal Guadalajara,325,0,0,0
Sucursal Guadalajara,326,0,0,0
Sucursal Guadalajara,327,0,0,0
Sucursal Guadalajara,328,0,0,0
Sucursal Guadalajara,329,0,0,0
Sucursal Guadalajara,330,0,0,0
Sucursal Guadalajara,331,0,0,0
Sucursal Guadalajara,332,0,0,0
Sucursal Guadalajara,333,0,0,0
Sucursal Guadalajara,334,0,0,0
Sucursal Guadalajara,400,0,0,0
Sucursal Guadalajara,401,0,0,0
Sucursal Guadalajara,402,0,0,0
Sucursal Guadalajara,403,0,0,0
Sucursal Guadalajara,404,0,0,0
Sucursal Guadalajara,405,0,0,0
Sucursal Guadalajara,406,0,0,0
Sucursal Guadalajara,407,0,0,0
Sucursal Guadalajara,408,0,0,0
Sucursal Guadalajara,409,0,0,0
Sucursal Guadalajara,410,0,0,0
Sucursal Guadalajara,411,0,0,0
Sucursal Guadalajara,412,0,0,0
Sucursal Guadalajara,413,0,0,0
Sucursal Guadalajara,414,0,0,0
Sucursal Guadalajara,415,0,0,0
Sucursal Guadalajara,416,0,0,0
Sucursal Guadalajara,417,0,0,0
Sucursal Guadalajara,418,0,0,0
Sucursal Guadalajara,419,0,0,0
Sucursal Guadalajara,420,0,0,0
Sucursal Guadalajara,421,0,0,0
Sucursal Guadalajara,422,0,0,0
Sucursal Guadalajara,423,0,0,0
Sucursal Guadalajara,424,0,0,0
Sucursal Guadalajara,425,0,0,0
Sucursal Guadalajara,426,0,0,0
Sucursal Guadalajara,427,0,0,0
Sucursal Guadalajara,428,0,0,0
Sucursal Guadalajara,429,0,0,0
Sucursal Guadalajara,430,0,0,0
Sucursal Guadalajara,431,0,0,0
Sucursal Guadalajara,432,0,0,0
Sucursal Guadalajara,433,0,0,0
Sucursal Guadalajara,434,0,0,0
Sucursal Guadalajara,435,0,0,0
Sucursal Guadalajara,436,0,0,0
Sucursal Guadalajara,437,0,0,0
Sucursal Guadalajara,438,0,0,0
Sucursal Guadalajara,439,0,0,0
Sucursal Guadalajara,440,0,0,0
Sucursal Guadalajara,441,0,0,0
Sucursal Guadalajara,442,0,0,0
Sucursal Guadalajara,443,0,0,0
Sucursal Guadalajara,444,0,0,0
Sucursal Guadalajara,445,0,0,0
Sucursal Guadalajara,446,0,0,0
Sucursal Guadalajara,447,0,0,0
Sucursal Guadalajara,448,0,0,0
Sucursal Guadalajara,449,0,0,0
Sucursal Guadalajara,450,0,0,0
Sucursal Guadalajara,451,0,0,0
Sucursal Guadalajara,452,0,0,0
Sucursal Guadalajara,453,0,0,0
Sucursal Guadalajara,454,0,0,0
Sucursal Guadalajara,455,0,0,0
Sucursal Guadalajara,456,0,0,0
Sucursal Guadalajara,457,0,0,0
Sucursal Guadalajara,458,0,0,0
Sucursal Guadalajara,459,0,0,0
Sucursal Guadalajara,460,0,0,0
Sucursal Guadalajara,461,0,0,0
Sucursal Guadalajara,462,0,0,0
Sucursal Guadalajara,463,0,0,0
Sucursal Guadalajara,464,0,0,0
Sucursal Guadalajara,465,0,0,0
Sucursal Guadalajara,466,0,0,0
Sucursal Guadalajara,467,0,0,0
Sucursal Guadalajara,468,0,0,0
Sucursal Guadalajara,469,0,0,0
Sucursal Guadalajara,470,0,0,0
Sucursal Guadalajara,471,0,0,0
Sucursal Guadalajara,472,0,0,0
Sucursal Guadalajara,473,0,0,0
Sucursal Guadalajara,474,0,0,0
Sucursal Guadalajara,475,0,0,0
Sucursal Guadalajara,476,0,0,0
Sucursal Guadalajara,477,0,0,0
Sucursal Guadalajara,478,0,0,0
Sucursal Guadalajara,479,0,0,0
Sucursal Guadalajara,480,0,0,0
Sucursal Guadalajara,481,0,0,0
Sucursal Guadalajara,482,0,0,0
Sucursal Guadalajara,483,0,0,0
Sucursal Guadalajara,484,0,0,0
Sucursal Guadalajara,500,0,0,0
Sucursal Guadalajara,501,0,0,0
Sucursal Guadalajara,502,0,0,0
Sucursal Guadalajara,503,0,0,0
Sucursal Guadalajara,504,0,0,0
Sucursal Guadalajara,505,0,0,0
Sucursal Guadalajara,506,0,0,0
Sucursal Guadalajara,507,0,0,0
Sucursal Guadalajara,508,0,0,0
Sucursal Guadalajara,509,0,0,0
Sucursal Guadalajara,510,0,0,0
Sucursal Guadalajara,511,0,0,0
Sucursal Guadalajara,512,0,0,0
Sucursal Guadalajara,513,0,0,0
Sucursal Guadalajara,514,1,1,1
Sucursal Guadalajara,515,3,3,3
Sucursal Guadalajara,516,0,0,0
Sucursal Guadalajara,517,0,0,0
Sucursal Guadalajara,518,0,0,0
Sucursal Guadalajara,519,0,0,0
Sucursal Guadalajara,520,0,0,0
Sucursal Guadalajara,521,0,0,0
Sucursal Guadalajara,522,0,0,0
Sucursal Guadalajara,523,0,0,0
Sucursal Guadalajara,524,0,0,0
Sucursal Guadalajara,525,0,0,0
Sucursal Guadalajara,526,0,0,0
Sucursal Guadalajara,527,0,0,0
Sucursal Guadalajara,528,0,0,0
Sucursal Guadalajara,529,0,0,0
Sucursal Guadalajara,530,0,0,0
Sucursal Guadalajara,531,0,0,0
Sucursal Guadalajara,532,0,0,0
Sucursal Guadalajara,533,1,1,1
Sucursal Guadalajara,534,0,0,0
Sucursal Guadalajara,535,0,0,0
Sucursal Guadalajara,536,0,0,0
Sucursal Guadalajara,537,0,0,0
Sucursal Guadalajara,538,0,0,0
Sucursal Guadalajara,539,0,0,0
Sucursal Guadalajara,540,0,0,0
Sucursal Guadalajara,541,0,0,0
Sucursal Guadalajara,542,0,0,0
Sucursal Guadalajara,544,1,1,1
Sucursal Guadalajara,545,0,0,0
Sucursal Guadalajara,546,0,0,0
Sucursal Guadalajara,547,0,0,0
Sucursal Guadalajara,548,0,0,0
Sucursal Guadalajara,549,0,0,0
Sucursal Guadalajara,550,0,0,0
Sucursal Guadalajara,551,0,0,0
Sucursal Guadalajara,552,0,0,0
Sucursal Guadalajara,553,0,0,0
Sucursal Guadalajara,554,0,0,0
Sucursal Guadalajara,555,0,0,0
Sucursal Guadalajara,743,0,0,0
Sucursal Guadalajara,800,0,0,0
Sucursal Guadalajara,801,0,0,0
Sucursal Guadalajara,802,0,0,0
Sucursal Guadalajara,803,0,0,0
Sucursal Guadalajara,1300,0,0,0
Sucursal Guadalajara,1301,0,0,0
Sucursal Guadalajara,1302,0,0,0
Sucursal Guadalajara,1303,0,0,0
Sucursal Guadalajara,1304,0,0,0
Sucursal Guadalajara,1305,0,0,0
Sucursal Guadalajara,1306,0,0,0
Sucursal Guadalajara,2001,50,50,75
Sucursal Guadalajara,2003,0,0,0
Sucursal Guadalajara,2004,0,0,0
Sucursal Guadalajara,2005,0,0,0
Sucursal Guadalajara,2006,0,0,0
Sucursal Guadalajara,2009,0,0,0
Sucursal Guadalajara,2010,0,0,0
Sucursal Guadalajara,2011,0,0,0
Sucursal Guadalajara,2012,0,0,0
Sucursal Guadalajara,2013,0,0,0
Sucursal Guadalajara,2015,0,0,0
Sucursal Guadalajara,2846,0,0,0
Sucursal Guadalajara,3000,0,0,0
Sucursal Guadalajara,6018,0,0,0
Sucursal Guadalajara,6020,0,0,0
Sucursal Guadalajara,6097,0,0,0
Sucursal Guadalajara,6137,0,0,0
Sucursal Guadalajara,6175,0,0,0
Sucursal Guadalajara,6221,0,0,0
Sucursal Guadalajara,6487,0,0,0
Sucursal Guadalajara,6490,0,0,0
Sucursal Guadalajara,6622,0,0,0
Sucursal Guadalajara,6662,0,0,0
Sucursal Guadalajara,6665,0,0,0
Sucursal Guadalajara,6727,0,0,0
Sucursal Guadalajara,6732,0,0,0
Sucursal Guadalajara,7117,0,0,0
Sucursal Guadalajara,10000,0,0,0
Sucursal Guadalajara,13039,0,0,0
Sucursal Guadalajara,85049,0,0,0
Sucursal Guadalajara,85050,0,0,0
Sucursal Guadalajara,85051,0,0,0
Sucursal Guadalajara,85052,0,0,0
Sucursal Guadalajara,85053,0,0,0
Sucursal Guadalajara,85054,0,0,0
Sucursal Guadalajara,85055,0,0,0
Sucursal Guadalajara,85056,0,0,0
Sucursal Guadalajara,123456,0,0,0
Sucursal Guadalajara,159357,0,0,0
Sucursal Guadalajara,654321,0,0,0
Sucursal Guadalajara,4002066,0,0,0
Sucursal Guadalajara,5230105,0,0,0
Sucursal Guadalajara,5610108,0,0,0
Sucursal Guadalajara,6101116,0,0,0
Sucursal Guadalajara,6683595,0,0,0
Sucursal Guadalajara,30106659,0,0,0
Sucursal Guadalajara,53131613,0,0,0
Sucursal Guadalajara,3304990000,0,0,0
Sucursal Guadalajara,19962494116,0,0,0
Sucursal Guadalajara,19962494215,0,0,0
Sucursal Guadalajara,19962494314,0,0,0
Sucursal Guadalajara,19962494413,0,0,0
Sucursal Guadalajara,19962494512,0,0,0
Sucursal Guadalajara,60748000199,0,0,0
Sucursal Guadalajara,60748000472,0,0,0
Sucursal Guadalajara,60748001001,0,0,0
Sucursal Guadalajara,60748003718,0,0,0
Sucursal Guadalajara,70501010105,0,0,0
Sucursal Guadalajara,70501050651,0,0,0
Sucursal Guadalajara,70501060902,0,0,0
Sucursal Guadalajara,70501092002,0,0,0
Sucursal Guadalajara,70501092408,0,0,0
Sucursal Guadalajara,70501100134,0,0,0
Sucursal Guadalajara,90205022983,0,0,0
Sucursal Guadalajara,90205025335,0,0,0
Sucursal Guadalajara,90205025403,0,0,0
Sucursal Guadalajara,90205077563,0,0,0
Sucursal Guadalajara,90205077709,0,0,0
Sucursal Guadalajara,198168067376,0,0,0
Sucursal Guadalajara,198168129081,0,0,0
Sucursal Guadalajara,198168409480,0,0,0
Sucursal Guadalajara,198168739686,0,0,0
Sucursal Guadalajara,300093331020,0,0,0
Sucursal Guadalajara,326480044687,0,0,0
Sucursal Guadalajara,328270388497,0,0,0
Sucursal Guadalajara,337220000273,0,0,0
Sucursal Guadalajara,358892100309,0,0,0
Sucursal Guadalajara,358892101504,0,0,0
Sucursal Guadalajara,358892102044,0,0,0
Sucursal Guadalajara,358892103300,0,0,0
Sucursal Guadalajara,358892106851,0,0,0
Sucursal Guadalajara,358892113156,0,0,0
Sucursal Guadalajara,358892119011,0,0,0
Sucursal Guadalajara,358892122301,0,0,0
Sucursal Guadalajara,358892123308,0,0,0
Sucursal Guadalajara,358892129065,0,0,0
Sucursal Guadalajara,358892131501,0,0,0
Sucursal Guadalajara,358892132508,0,0,0
Sucursal Guadalajara,358892133505,0,0,0
Sucursal Guadalajara,358892134502,0,0,0
Sucursal Guadalajara,358892317011,0,0,0
Sucursal Guadalajara,358892319015,0,0,0
Sucursal Guadalajara,358892318018,0,0,0
Sucursal Guadalajara,358892326501,5,5,7
Sucursal Guadalajara,358892326853,0,0,0
Sucursal Guadalajara,358892336500,3,3,3
Sucursal Guadalajara,358892911882,0,0,0
Sucursal Guadalajara,362031536935,0,0,0
Sucursal Guadalajara,362032050010,0,0,0
Sucursal Guadalajara,362032050089,0,0,0
Sucursal Guadalajara,362032050522,0,0,0
Sucursal Guadalajara,362032050539,0,0,0
Sucursal Guadalajara,362032050546,0,0,0
Sucursal Guadalajara,362032050553,0,0,0
Sucursal Guadalajara,362032050560,0,0,0
Sucursal Guadalajara,362032065038,0,0,0
Sucursal Guadalajara,362032065243,0,0,0
Sucursal Guadalajara,362032065359,0,0,0
Sucursal Guadalajara,362032066011,0,0,0
Sucursal Guadalajara,362032070018,0,0,0
Sucursal Guadalajara,362032070056,0,0,0
Sucursal Guadalajara,362032070063,0,0,0
Sucursal Guadalajara,362032070131,0,0,0
Sucursal Guadalajara,362032070179,0,0,0
Sucursal Guadalajara,362032070193,0,0,0
Sucursal Guadalajara,362032070209,0,0,0
Sucursal Guadalajara,362032070445,0,0,0
Sucursal Guadalajara,362032070452,0,0,0
Sucursal Guadalajara,362032070582,0,0,0
Sucursal Guadalajara,362032072029,0,0,0
Sucursal Guadalajara,362032077680,0,0,0
Sucursal Guadalajara,362032079097,0,0,0
Sucursal Guadalajara,362032087909,0,0,0
Sucursal Guadalajara,362032100364,0,0,0
Sucursal Guadalajara,362032101361,0,0,0
Sucursal Guadalajara,362032116365,0,0,0
Sucursal Guadalajara,362032140100,0,0,0
Sucursal Guadalajara,362032161037,0,0,0
Sucursal Guadalajara,362032610047,0,0,0
Sucursal Guadalajara,362032612041,0,0,0
Sucursal Guadalajara,362032650074,0,0,0
Sucursal Guadalajara,362032811093,0,0,0
Sucursal Guadalajara,390205022694,1,1,1
Sucursal Guadalajara,390205022878,0,0,0
Sucursal Guadalajara,390205022892,2,2,2
Sucursal Guadalajara,390205025008,2,2,2
Sucursal Guadalajara,390205025107,0,0,0
Sucursal Guadalajara,390205025121,0,0,0
Sucursal Guadalajara,390205025206,3,3,3
Sucursal Guadalajara,390205025787,3,3,3
Sucursal Guadalajara,390205025824,2,2,2
Sucursal Guadalajara,608819261133,0,0,0
Sucursal Guadalajara,608819261164,0,0,0
Sucursal Guadalajara,608819261195,0,0,0
Sucursal Guadalajara,609207621133,3,3,3
Sucursal Guadalajara,635494310207,0,0,0
Sucursal Guadalajara,635494314120,0,0,0
Sucursal Guadalajara,635494314205,1,1,1
Sucursal Guadalajara,635494316124,0,0,0
Sucursal Guadalajara,635494317121,0,0,0
Sucursal Guadalajara,635494317206,1,1,1
Sucursal Guadalajara,635494323122,0,0,0
Sucursal Guadalajara,635494327120,0,0,0
Sucursal Guadalajara,635494327205,0,0,0
Sucursal Guadalajara,635494328202,0,0,0
Sucursal Guadalajara,635494330120,0,0,0
Sucursal Guadalajara,635494330205,0,0,0
Sucursal Guadalajara,635494331127,0,0,0
Sucursal Guadalajara,635494345254,0,0,0
Sucursal Guadalajara,635494347203,0,0,0
Sucursal Guadalajara,635494348200,0,0,0
Sucursal Guadalajara,635494349207,0,0,0
Sucursal Guadalajara,635494352122,0,0,0
Sucursal Guadalajara,635494358209,0,0,0
Sucursal Guadalajara,635494363210,2,2,2
Sucursal Guadalajara,635494377002,0,0,0
Sucursal Guadalajara,635494390124,0,0,0
Sucursal Guadalajara,635494391206,2,2,2
Sucursal Guadalajara,679795082005,0,0,0
Sucursal Guadalajara,679795082012,0,0,0
Sucursal Guadalajara,679795082029,0,0,0
Sucursal Guadalajara,679795082043,0,0,0
Sucursal Guadalajara,679795082050,0,0,0
Sucursal Guadalajara,679795082098,0,0,0
Sucursal Guadalajara,679795082128,0,0,0
Sucursal Guadalajara,679795082135,0,0,0
Sucursal Guadalajara,679795082142,0,0,0
Sucursal Guadalajara,679795083033,0,0,0
Sucursal Guadalajara,679795083057,0,0,0
Sucursal Guadalajara,679795083071,0,0,0
Sucursal Guadalajara,679795083088,0,0,0
Sucursal Guadalajara,679795083095,0,0,0
Sucursal Guadalajara,679795083118,0,0,0
Sucursal Guadalajara,679795083231,0,0,0
Sucursal Guadalajara,679795083248,0,0,0
Sucursal Guadalajara,679795083279,0,0,0
Sucursal Guadalajara,679795083309,0,0,0
Sucursal Guadalajara,679795083330,0,0,0
Sucursal Guadalajara,679795083347,0,0,0
Sucursal Guadalajara,679795083378,0,0,0
Sucursal Guadalajara,679795083392,0,0,0
Sucursal Guadalajara,679795083460,0,0,0
Sucursal Guadalajara,679795083484,0,0,0
Sucursal Guadalajara,679795083491,0,0,0
Sucursal Guadalajara,679795083507,0,0,0
Sucursal Guadalajara,679795083668,0,0,0
Sucursal Guadalajara,679795083682,0,0,0
Sucursal Guadalajara,679795083699,0,0,0
Sucursal Guadalajara,679795083705,0,0,0
Sucursal Guadalajara,679795083736,0,0,0
Sucursal Guadalajara,679795083798,0,0,0
Sucursal Guadalajara,679795083828,0,0,0
Sucursal Guadalajara,679795083835,0,0,0
Sucursal Guadalajara,679795083842,0,0,0
Sucursal Guadalajara,679795083859,0,0,0
Sucursal Guadalajara,679795083866,0,0,0
Sucursal Guadalajara,679795083910,0,0,0
Sucursal Guadalajara,679795083941,0,0,0
